,Oligos,Neurons,Vascular,Astrocytes,Ependymal,Immune,Blood
57,0.24233687,0.41490504,0.0,0.08552304,0.0,0.0,0.0
58,0.23394582,0.3786375,0.0,0.21641594,0.0,0.0,0.0
59,0.22377393,0.32196075,0.0,0.24641645,0.0,0.0,0.0
60,0.2823416,0.26965785,0.0,0.22029127,0.0,0.0,0.0
61,0.17433262,0.6122381,0.0,0.34398177,0.0,0.031187542,0.0
62,0.2487095,0.328813,0.0,0.12692468,0.0,0.0,0.0
63,0.22508231,0.31170413,0.0,0.30300376,0.0,0.0,0.0
64,0.28172812,0.28560373,0.0,0.15724123,0.0,0.011702779,0.0
65,0.20051214,0.55989635,0.0,0.16299722,0.0,0.011753055,0.0
66,0.11012552,0.76901746,0.0,0.20698446,0.0,0.022439077,0.0
67,0.26968643,0.34840503,0.0,0.07657908,0.0,0.0341416,0.0
68,0.1782768,0.4174608,0.0,0.21883601,0.0,0.047663055,0.0
69,0.17253798,0.48453292,0.0,0.04233908,0.0,0.027987577,0.0
70,0.0,0.8633229,0.0,0.0,0.0,0.019433614,0.0
71,0.11883218,0.8435254,0.0,0.14543964,0.0,0.04088789,0.0
72,0.1827682,0.4924628,0.0,0.1372361,0.0,0.07996483,0.0
73,0.17366514,0.40972415,0.0,0.0,0.0,0.07436762,0.0
74,0.11056011,0.76297826,0.0,0.18433368,0.0,0.013580516,0.0
75,0.25942698,0.28791243,0.0,0.13776197,0.0,0.00052622147,0.0
76,0.3281746,0.18023832,0.0,0.18062289,0.0,0.0,0.0
77,0.36012733,0.1514192,0.0,0.31247383,0.0,0.0,0.0
78,0.36544824,0.23953152,0.0,0.1776154,0.0,0.0,0.0
79,0.2888493,0.43616217,0.0,0.24019459,0.0,0.0,0.0
80,0.18078852,0.59712356,0.0,0.24228598,0.0,0.020399433,0.0
81,0.39028805,0.1504267,0.0,0.17692935,0.0,0.0,0.0
82,0.19325328,0.37631923,0.0,0.17585874,0.0,0.051274456,0.0
83,0.24742475,0.28725013,0.0,0.35391283,0.0,0.0,0.0
84,0.3805284,0.15879317,0.0,0.14680679,0.0,0.0,0.0
85,0.2911431,0.20457757,0.0,0.33170938,0.0,0.032662936,0.0
86,0.1314328,0.43522584,0.0,0.20305526,0.0,0.07081707,0.0
87,0.119794324,0.5110457,0.0,0.12401458,0.0,0.12087791,0.0
88,0.124201536,0.49441847,0.0,0.41957295,0.0,0.08835099,0.0
89,0.1421022,0.69165254,0.0,0.2342197,0.0,0.0690889,0.0
90,0.20668346,0.25072834,0.0,0.42117324,0.0,0.115848556,0.0
91,0.1276888,0.43873176,0.0,0.5373671,0.0,0.10690951,0.0
92,0.16960287,0.6759346,0.0,0.0558021,0.0,0.063468814,0.0
93,0.17749992,0.204915,0.0,0.5701777,0.0,0.12710612,0.0
94,0.08776783,0.6062807,0.0,0.0,0.0,0.025378808,0.0
95,0.13562953,0.81392324,0.0,0.24255434,0.0,0.08686954,0.0
96,0.21349078,0.40672368,0.0,0.09562647,0.0,0.038432416,0.0
97,0.06977442,0.29081935,0.0,0.7882526,0.0,0.110503614,0.0
98,0.13440165,0.5514267,0.0,0.18578845,0.0,0.10360131,0.0
99,0.21567526,0.36446226,0.0,0.0,0.0,0.062033318,0.0
100,0.13825375,0.53569883,0.0,0.02681758,0.0,0.08395381,0.0
101,0.24338056,0.34033355,0.0,0.06934549,0.0,0.04350101,0.0
102,0.04442913,0.67637575,0.0,0.0,0.0,0.017020933,0.0
103,0.09377959,0.6692761,0.0,0.03751643,0.0,0.046433896,0.0
104,0.14566784,0.49801493,0.0,0.15096635,0.0,0.08674948,0.0
105,0.19204211,0.3020372,0.0,0.13380584,0.0,0.07768601,0.0
106,0.22246462,0.4178369,0.0,0.17248493,0.0,0.051682163,0.0
107,0.3101662,0.18269108,0.0,0.16654795,0.0,0.0,0.0
108,0.09125501,0.57010806,0.0,0.067541406,0.0,0.10742849,0.0
109,0.14474156,0.4511417,0.0,0.15159607,0.0,0.09141612,0.0
